Product,Manufacturer,Width & Length,Thickness,Price,Twickenham,Richmond
Corners Marble Diamond Corner DC296C,Amtico,Various (w) x 2.5 (l),2.5 (t),£21.99 per SQM,,
Corners Gothic Arch Corner AR0C67SB,Amtico,Various (w) x 2.5 (l),2.5 (t),£12.99 per SQM,,
Corners Ellipse Corner AR0C71S0 AR0C71R0,Amtico,Various (w) x 2.5 (l),2.5 (t),£12.99 per SQM,,
Corners Mondrian Corner AR0C74S0,Amtico,Various (w) x 2.5 (l),2.5 (t),£12.99 per SQM,,
Corners Deco Pleat Corner AR0C68SB,Amtico,Various (w) x 2.5 (l),2.5 (t),£12.99 per SQM,,
Corners Broad Stripe Corner AR0C65S0,Amtico,Various (w) x 2.5 (l),2.5 (t),£12.99 per SQM,,
Corners Square Corner AR0C62S0,Amtico,Various (w) x 2.5 (l),2.5 (t),£12.99 per SQM,,
Corners Pyramid Corner AR0C60S0,Amtico,Various (w) x 2.5 (l),2.5 (t),£12.99 per SQM,,
Corners Art Deco Corner AR0C51S0,Amtico,Various (w) x 2.5 (l),2.5 (t),£12.99 per SQM,,
Corners Bevelled Diamond Corner AR0C27SB,Amtico,Various (w) x 2.5 (l),2.5 (t),£12.99 per SQM,,
Corners Ellipse Grand Corner AR0C72S0,Amtico,Various (w) x 2.5 (l),2.5 (t),£12.99 per SQM,,
Corners Etch Corner AR0C803S/AR0C806S,Amtico,Various (w) x 2.5 (l),2.5 (t),£21.99 per SQM,,
Stripping (36 Strips) (915mm x 3mm),Amtico,3 (w) x 2 (l),2 (t),£21.99 per SQM,,
Stripping (36 Strips) (915mm x 6mm),Amtico,6 (w) x 2 (l),2 (t),£37.99 per SQM,,
Stripping (36 Strips) (915mm x 9.5mm),Amtico,9.5 (w) x 2 (l),2 (t),£41.99 per SQM,,
Stripping (36 Strips) (915mm x 13mm),Amtico,13 (w) x 2 (l),2 (t),£50.99 per SQM,,
