Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
LVT Installation - Design Work,INS31496LVT,Installer,35.0,35.0,40.83333333333333,LVT,Installation,"LVT Installation - Design Work, LVT, Installation",
LVT Installation - Border (Without Inlay),INS21027LVT,Installer,10.0,10.0,11.666666666666668,LVT,Installation,"LVT Installation - Border (Without Inlay), LVT, Installation",
LVT Installation - Border (With Inlay),INS67064LVT,Installer,15.0,15.0,16.666666666666668,LVT,Installation,"LVT Installation - Border (With Inlay), LVT, Installation",
Ply (SP101) Installation inc. Feather (For LVT),INS20329LVT,Installer,36.5,36.5,41.66666666666667,LVT,Sub floor works,"Ply (SP101) Installation inc. Feather (For LVT), LVT, Sub floor works",
LVT Installation - Minimum (1 Day),INS27761LVT,Installer,400.0,400.0,458.33333333333337,LVT,Installation,"LVT Installation - Minimum (1 Day), LVT, Installation",
LVT Installation - Step,INS64192LVT,Installer,50.0,50.0,58.33333333333333,LVT,Installation,"LVT Installation - Step, LVT, Installation",
LVT Installation - Miscellaneous,INS15455LVT,Installer,1.0,1.0,1.15,LVT,Installation,"LVT Installation - Miscellaneous, LVT, Installation",
Primer Application,INS33086GEN,Installer,2.5,2.5,2.916666666666667,General,Sub floor works,"Primer Application, LVT, Sub floor works",
SPC / Click Installation - Plank,INS86442SPC,Installer,15.0,15.0,17.5,SPC / Click,Installation,"SPC / Click Installation - Plank, SPC / Click, Installation",
SPC / Click Installation - Tile,INS97061SPC,Installer,15.0,15.0,17.5,SPC / Click,Installation,"SPC / Click Installation - Tile, SPC / Click, Installation",
SPC / Click Installation - Herringbone,INS83210SPC,Installer,22.0,22.0,25.0,SPC / Click,Installation,"SPC / Click Installation - Herringbone, SPC / Click, Installation",
SPC / Click Installation - Minimum (1 Day),INS77984SPC,Installer,350.0,350.0,395.83333333333337,SPC / Click,Installation,"SPC / Click Installation - Minimum (1 Day), SPC / Click, Installation",
SPC / Click Installation - Step,INS13563SPC,Installer,50.0,50.0,58.33333333333333,SPC / Click,Installation,"SPC / Click Installation - Step, SPC / Click, Installation",
SPC / Click Installation - Miscellaneous,INS96868SPC,Installer,1.0,1.0,1.15,SPC / Click,Installation,"SPC / Click Installation - Miscellaneous, SPC / Click, Installation",
Ply Installation - 12mm(+),INS66352GEN,Installer,35.0,35.0,40.83333333333333,General,Sub floor works,"Ply Installation - 12mm(+), SPC / Click, Sub floor works",
Laminate Installation - Plank,INS59231LAM,Installer,15.0,15.0,17.25,Laminate,Installation,"Laminate Installation - Plank, Laminate, Installation",
Laminate Installation - Tile,INS39516LAM,Installer,15.0,15.0,17.25,Laminate,Installation,"Laminate Installation - Tile, Laminate, Installation",
Laminate Installation - Herringbone,INS75486LAM,Installer,22.5,22.5,25.874999999999996,Laminate,Installation,"Laminate Installation - Herringbone, Laminate, Installation",
Laminate Installation - Minimum (1 Day),INS53597LAM,Installer,350.0,350.0,402.49999999999994,Laminate,Installation,"Laminate Installation - Minimum (1 Day), Laminate, Installation",
Laminate Installation - Step,INS46959LAM,Installer,50.0,50.0,57.49999999999999,Laminate,Installation,"Laminate Installation - Step, Laminate, Installation",
Laminate Installation - Miscellaneous,INS47210LAM,Installer,1.0,1.0,1.15,Laminate,Installation,"Laminate Installation - Miscellaneous, Laminate, Installation",
Skirting Installation,INS37722GEN,Installer,20.0,20.0,23.0,General,Installation,"Skirting Installation, Laminate, Installation",
Remove Existing Skirting,INS42318GEN,Installer,4.0,4.0,4.6,General,Installation,"Remove Existing Skirting, Laminate, Installation",
Wood Installation - Plank,INS19563WOO,Installer,24.0,24.0,27.5,Wood,Installation,"Wood Installation - Plank, Wood, Installation",
