SKU,Product,Manufacturer,Category,Width,Length,Thickness,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RE19028WOO,Lynton Estuary Oak,Woodpecker,Vinyl,165,1220,7,56.66666666666667,68.0,,lynton-estuary-oak,product-images/vinyl/woodpecker/lynton-estuary-oak.jpg
RE40106WOO,Lynton Natural Oak,Woodpecker,Vinyl,165,1220,7,56.66666666666667,68.0,,lynton-natural-oak,product-images/vinyl/woodpecker/lynton-natural-oak.jpg
RE46026WOO,Lynton Evening Oak,Woodpecker,Vinyl,165,1220,7,56.66666666666667,68.0,,lynton-evening-oak,product-images/vinyl/woodpecker/lynton-evening-oak.jpg
RE45109WOO,Lynton Weald Oak,Woodpecker,Vinyl,165,1220,7,56.66666666666667,68.0,,lynton-weald-oak,product-images/vinyl/woodpecker/lynton-weald-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Aged Oak,signature-standard-aged-oak,product-images/vinyl/amtico/signature-standard/signature-standard-aged-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Alpine Oak,signature-standard-alpine-oak,product-images/vinyl/amtico/signature-standard/signature-standard-alpine-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,American Oak,signature-standard-american-oak,product-images/vinyl/amtico/signature-standard/signature-standard-american-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Antique Wood,signature-standard-antique-wood,product-images/vinyl/amtico/signature-standard/signature-standard-antique-wood.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Ashdown Oak,signature-standard-ashdown-oak,product-images/vinyl/amtico/signature-standard/signature-standard-ashdown-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Aspen Oak,signature-standard-aspen-oak,product-images/vinyl/amtico/signature-standard/signature-standard-aspen-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Basilica Salt,signature-standard-basilica-salt,product-images/vinyl/amtico/signature-standard/signature-standard-basilica-salt.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Basilica Shell,signature-standard-basilica-shell,product-images/vinyl/amtico/signature-standard/signature-standard-basilica-shell.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Berkswell Stone,signature-standard-berkswell-stone,product-images/vinyl/amtico/signature-standard/signature-standard-berkswell-stone.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Berwick Oak,signature-standard-berwick-oak,product-images/vinyl/amtico/signature-standard/signature-standard-berwick-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Bianca Classic Marble,signature-standard-bianca-classic-marble,product-images/vinyl/amtico/signature-standard/signature-standard-bianca-classic-marble.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Black Burnished Metal,signature-standard-black-burnished-metal,product-images/vinyl/amtico/signature-standard/signature-standard-black-burnished-metal.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Blockley Stone,signature-standard-blockley-stone,product-images/vinyl/amtico/signature-standard/signature-standard-blockley-stone.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Blonde Oak,signature-standard-blonde-oak,product-images/vinyl/amtico/signature-standard/signature-standard-blonde-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Bordeaux Oak,signature-standard-bordeaux-oak,product-images/vinyl/amtico/signature-standard/signature-standard-bordeaux-oak.jpg
