SKU,Product,Manufacturer,Category,Type,Species,Finish,Width,Length,Thickness,Sell ex VAT,Slug,Image URL
WO36594PAN,Linen - Authentic (Diva 139) 1000299,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,495 – 1992,12/2.5,60.0,linen-authentic-diva-139-1000299,product-images/wood/panaget/linen-authentic-diva-139-1000299.jpg
WO98998PAN,Linen - Classic (Diva 139) 1019702,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,495 – 1992,14/3.4,69.16666666666667,linen-classic-diva-139-1019702,product-images/wood/panaget/linen-classic-diva-139-1019702.jpg
WO16279PAN,Linen - Classic/Authentic (Herringbone 90) 1005924,Panaget,Wood,Herringbone,European Oak,Matt Lacquer,90,590,12/2.5,66.66666666666667,linen-classicauthentic-herringbone-90-1005924,product-images/wood/panaget/linen-classicauthentic-herringbone-90-1005924.jpg
WO44391PAN,Linen - Zenitude (Diva 184) 1007314,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,500 – 2000,14/3.4,74.16666666666667,linen-zenitude-diva-184-1007314,product-images/wood/panaget/linen-zenitude-diva-184-1007314.jpg
WO40805PAN,Linen - Zenitude (Sonate 140) 1007268,Panaget,Wood,Plank,European Oak,Matt Lacquer,140,400 – 1300,14 (Solid),80.0,linen-zenitude-sonate-140-1007268,product-images/wood/panaget/linen-zenitude-sonate-140-1007268.jpg
WO60706PAN,Miel - Authentic (Diva 139 Click) 1019705,Panaget,Wood,Plank,European Oak,Matt Lacquer,139,495 – 1992,14/3.4,62.5,miel-authentic-diva-139-click-1019705,product-images/wood/panaget/miel-authentic-diva-139-click-1019705.jpg
WO21964PAN,Miel - Authentic (Diva 184) 1019170,Panaget,Wood,Plank,European Oak,Matt Lacquer,184,500 – 2000,14/3.4,78.33333333333333,miel-authentic-diva-184-1019170,product-images/wood/panaget/miel-authentic-diva-184-1019170.jpg
WO13133PAN,Natural Oil - Authentic (Sonate 90) 1000026,Panaget,Wood,Plank,European Oak,Oil,90,400 – 1300,14 (Solid),85.0,natural-oil-authentic-sonate-90-1000026,product-images/wood/panaget/natural-oil-authentic-sonate-90-1000026.jpg
WO99719PAN,Natural Oil - Salvaggio (Diva 139) 1014172,Panaget,Wood,Plank,European Oak,Oil,139,500 – 2000,14/3.4,84.16666666666666,natural-oil-salvaggio-diva-139-1014172,product-images/wood/panaget/natural-oil-salvaggio-diva-139-1014172.jpg
WO94446PAN,Opale - Authentic (Diva 184) 1000060,Panaget,Wood,Plank,European Oak,Satin Lacquer,184,495 – 1992,12/2.5,71.66666666666667,opale-authentic-diva-184-1000060,product-images/wood/panaget/opale-authentic-diva-184-1000060.jpg
WO99698PAN,Opale - Classic (Diva 139) 1006162,Panaget,Wood,Plank,European Oak,Satin Lacquer,139,495 – 1992,14/3.4,69.16666666666667,opale-classic-diva-139-1006162,product-images/wood/panaget/opale-classic-diva-139-1006162.jpg
