SKU,Product,Manufacturer,Category,Material,Widths,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
CA31190ALT,No Bother Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Norleywood,no-bother-sisal-boucle-norleywood,product-images/carpet/alternative-flooring/no-bother-sisal-boucle/no-bother-sisal-boucle-norleywood.jpg
CA31190ALT,No Bother Sisal Boucle,Alternative Flooring,Carpet,100% Sisal,4 | 5,47.5,57.0,Nursling,no-bother-sisal-boucle-nursling,product-images/carpet/alternative-flooring/no-bother-sisal-boucle/no-bother-sisal-boucle-nursling.jpg
CA13022ALT,No Bother Sisal Super Boucle,Alternative Flooring,Carpet,100% Sisal,4,51.66666666666667,62.0,Nether Wallop,no-bother-sisal-super-boucle-nether-wallop,product-images/carpet/alternative-flooring/no-bother-sisal-super-boucle/no-bother-sisal-super-boucle-nether-wallop.jpg
CA13022ALT,No Bother Sisal Super Boucle,Alternative Flooring,Carpet,100% Sisal,4,51.66666666666667,62.0,Netherton,no-bother-sisal-super-boucle-netherton,product-images/carpet/alternative-flooring/no-bother-sisal-super-boucle/no-bother-sisal-super-boucle-netherton.jpg
CA13022ALT,No Bother Sisal Super Boucle,Alternative Flooring,Carpet,100% Sisal,4,51.66666666666667,62.0,Newbridge,no-bother-sisal-super-boucle-newbridge,product-images/carpet/alternative-flooring/no-bother-sisal-super-boucle/no-bother-sisal-super-boucle-newbridge.jpg
CA13022ALT,No Bother Sisal Super Boucle,Alternative Flooring,Carpet,100% Sisal,4,51.66666666666667,62.0,Northington,no-bother-sisal-super-boucle-northington,product-images/carpet/alternative-flooring/no-bother-sisal-super-boucle/no-bother-sisal-super-boucle-northington.jpg
CA24255ALT,Rock 'n' Roll,Alternative Flooring,Carpet,100% Wool,4,61.66666666666667,74.0,Back in Black,rock-n-roll-back-in-black,product-images/carpet/alternative-flooring/rock-n-roll/rock-n-roll-back-in-black.jpg
CA24255ALT,Rock 'n' Roll,Alternative Flooring,Carpet,100% Wool,4,61.66666666666667,74.0,London Calling,rock-n-roll-london-calling,product-images/carpet/alternative-flooring/rock-n-roll/rock-n-roll-london-calling.jpg
CA24255ALT,Rock 'n' Roll,Alternative Flooring,Carpet,100% Wool,4,61.66666666666667,74.0,Moondance,rock-n-roll-moondance,product-images/carpet/alternative-flooring/rock-n-roll/rock-n-roll-moondance.jpg
CA24255ALT,Rock 'n' Roll,Alternative Flooring,Carpet,100% Wool,4,61.66666666666667,74.0,Mr Blue Sky,rock-n-roll-mr-blue-sky,product-images/carpet/alternative-flooring/rock-n-roll/rock-n-roll-mr-blue-sky.jpg
CA24255ALT,Rock 'n' Roll,Alternative Flooring,Carpet,100% Wool,4,61.66666666666667,74.0,Parklife,rock-n-roll-parklife,product-images/carpet/alternative-flooring/rock-n-roll/rock-n-roll-parklife.jpg
CA24255ALT,Rock 'n' Roll,Alternative Flooring,Carpet,100% Wool,4,61.66666666666667,74.0,Perfect Day,rock-n-roll-perfect-day,product-images/carpet/alternative-flooring/rock-n-roll/rock-n-roll-perfect-day.jpg
