SKU,Product,Manufacturer,Supplier,Category,Type,Thickness,Pack Quantity,Species,Finish,Width,Length,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
WO15293PAN,Café Crème - Zenitude (Diva 184) 1019171,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,52.75,74.16666666666667,89,Yes,Yes,,Yes
WO48625PAN,Café Crème - Zenitude (Sonate 140) 1019819,Panaget,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,140,400 – 1300,57.43,80.0,96,,Yes,,Yes
WO99957PAN,Carmen No 2 - Classic (Panel) 1005714,Panaget,Panaget,Wood,Design Panel,14/3.2,1.23,European Oak,Matt Lacquer,392,392,94.1,122.5,147,Yes,,,Yes
WO63925PAN,Carmen No 5 - Classic (Panel) 1005712,Panaget,Panaget,Wood,Design Panel,14/3.2,1.23,European Oak,Matt Lacquer,392,392,94.1,122.5,147,,Yes,,Yes
WO44955PAN,Cuir - Authentic (Diva 184) 1014166,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,56.1,78.33333333333333,94,,Yes,,Yes
WO94576PAN,Cuir - Authentic (Diva 184) 1014182,Panaget,Panaget,Wood,Plank,15/4.5,1.84,European Oak,Oil,184,500 – 2000,77.23,108.33333333333334,130,,Yes,,Yes
WO73015PAN,Cuir - Origine (Diva 184) 1006550,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83333333333334,97,Yes,,,Yes
WO65687PAN,Fauve - Zenitude (Diva 139) 1019709,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Satin Lacquer,139,495 – 1992,40.85,61.66666666666667,74,Yes,,,Yes
WO39020PAN,Fauve - Zenitude (Diva 184) 1016472,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Satin Lacquer,184,500 – 2000,52.75,74.16666666666667,89,,Yes,,Yes
WO60809PAN,Flamed Beech Cuivre (Diva 139) 1019714,Panaget,Panaget,Wood,Plank,14/3.4,1.38,Beech,Oil,139,495 – 1992,42.0,63.33333333333333,76,,Yes,,Yes
WO42149PAN,Flamed Beech Satine (Diva 139) 1019711,Panaget,Panaget,Wood,Plank,14/3.4,1.38,Beech,Satin Lacquer,139,495 – 1992,42.0,63.33333333333333,76,Yes,Yes,,Yes
WO89103PAN,Flanelle - Authentic (Diva 184) 1014183,Panaget,Panaget,Wood,Plank,15/4.5,1.84,European Oak,Oil,184,500 – 2000,77.23,108.33333333333334,130,,Yes,,Yes
WO49935PAN,Flanelle - Zenitude (Diva 184) 1007324,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,52.75,74.16666666666667,89,Yes,,,Yes
WO66224PAN,Grey Oil - Zenitude (Diva 184) 1007332,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,52.75,74.16666666666667,89,Yes,Yes,Yes,
WO96565PAN,Habano - Classic/Authentic (Herringbone 90) 1016742,Panaget,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Matt Lacquer,90,590,44.2,66.66666666666667,80,,Yes,,Yes
WO36594PAN,Linen - Authentic (Diva 139) 1000299,Panaget,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Matt Lacquer,139,495 – 1992,40.15,60.0,72,,Yes,,Yes
WO98998PAN,Linen - Classic (Diva 139) 1019702,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,45.95,69.16666666666667,83,,Yes,,Yes
WO16279PAN,Linen - Classic/Authentic (Herringbone 90) 1005924,Panaget,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Matt Lacquer,90,590,44.2,66.66666666666667,80,,Yes,,Yes
WO44391PAN,Linen - Zenitude (Diva 184) 1007314,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,52.75,74.16666666666667,89,Yes,Yes,,Yes
WO40805PAN,Linen - Zenitude (Sonate 140) 1007268,Panaget,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,140,400 – 1300,57.43,80.0,96,,Yes,,Yes
WO60706PAN,Miel - Authentic (Diva 139 Click) 1019705,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,41.4,62.5,75,,Yes,,Yes
WO21964PAN,Miel - Authentic (Diva 184) 1019170,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.1,78.33333333333333,94,Yes,Yes,,Yes
WO13133PAN,Natural Oil - Authentic (Sonate 90) 1000026,Panaget,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Oil,90,400 – 1300,60.54,85.0,102,,Yes,,Yes
WO99719PAN,Natural Oil - Salvaggio (Diva 139) 1014172,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Oil,139,500 – 2000,60.15,84.16666666666666,101,Yes,Yes,,Yes
WO94446PAN,Opale - Authentic (Diva 184) 1000060,Panaget,Panaget,Wood,Plank,12/2.5,2.2,European Oak,Satin Lacquer,184,495 – 1992,51.3,71.66666666666667,86,,Yes,,Yes
WO99698PAN,Opale - Classic (Diva 139) 1006162,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Satin Lacquer,139,495 – 1992,45.95,69.16666666666667,83,,Yes,,Yes
WO19963PAN,Rafia - Zenitude (Diva 184) 1007325,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,500 – 2000,500 – 2000,52.75,74.16666666666667,89,Yes,Yes,,Yes
WO47556PAN,Sable - Authentic (Diva 223) 1017302,Panaget,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Oil,223,700 – 2000,72.85,101.66666666666666,122,,Yes,,Yes
WO74187PAN,Sable - Origine (Diva 184) 1016635,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83333333333334,97,Yes,,,Yes
WO14989PAN,Sable - Zenitude (Diva 139) 1016633,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Oil,139,495 – 1992,48.0,71.66666666666667,86,,Yes,,Yes
WO32944PAN,Sable - Zenitude (Diva 139) 1017898,Panaget,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Oil,139,495 – 1992,37.65,58.33333333333333,70,,Yes,,Yes
WO86817PAN,Saphir - Authentic (Diva 139) 1019706,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,41.4,62.5,75,,Yes,,Yes
WO55092PAN,Saphir - Authentic (Diva 184) 1000069,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.1,78.33333333333333,94,Yes,Yes,,Yes
WO89971PAN,Satin - Authentic (Sonate 90) 1000027,Panaget,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Satin Lacquer,90,400 – 1300,60.54,85.0,102,,Yes,,Yes
WO33441PAN,Satin - Classic (Diva 139) 1005748,Panaget,Panaget,Wood,Plank,14/3.4,1.39,European Oak,Satin Lacquer,139,500 – 2000,68.0,95.0,114,,Yes,,Yes
WO35992PAN,Satin - Classic (Diva 90) 1005768,Panaget,Panaget,Wood,Plank,12/2.5,1.47,European Oak,Satin Lacquer,90,385 – 1180,48.0,71.66666666666667,86,,Yes,,Yes
WO83439PAN,Shabi Chaux - Zenitude (Alto 139) 1017702,Panaget,Panaget,Wood,Plank,12/2.5,1.85,European Oak,Oil,139,1210,46.52,70.0,84,,Yes,,Yes
WO47702PAN,Topaze - Authentic (Diva 139) 1000297,Panaget,Panaget,Wood,Plank,14/3.4,1.39,European Oak,Matt Lacquer,139,500 – 2000,45.45,68.33333333333333,82,,Yes,,Yes
WO78511PAN,Topaze - Authentic (Diva 184) 1000070,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.1,78.33333333333333,94,Yes,,,Yes
WO37940PAN,Topaze - Authentic (Diva 223) 1016986,Panaget,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Matt Lacquer,223,700 – 2000,72.85,101.66666666666666,122,,Yes,,Yes
WO46287PAN,Topaze - Authentic (Herringbone 139) 1016618,Panaget,Panaget,Wood,Herringbone,14/3.4,2.22,European Oak,Matt Lacquer,139,800,58.9,82.5,99,Yes,,,Yes
WO80712PAN,Topaze - Authentic (Sonate 140) 1000034,Panaget,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,140,400 – 1300,65.82,92.5,111,,Yes,,Yes
WO73772PAN,Topaze - Classic (Chevron 90) 1005735,Panaget,Panaget,Wood,Chevron,14/3.4,1.26,European Oak,Matt Lacquer,90,500,69.95,98.33333333333334,118,,Yes,,Yes
WO77551PAN,Topaze - Classic (Diva 184) 1006158,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,59.0,82.5,99,,Yes,,Yes
WO11235PAN,Topaze - Classic/Authentic (Herringbone 90) 1020644,Panaget,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Matt Lacquer,90,590,44.2,66.66666666666667,80,,Yes,,Yes
WO29524PAN,Topaze - Tradition (Alto 139) 1017700,Panaget,Panaget,Wood,Plank,12/2.5,1.85,European Oak,Matt Lacquer,139,1210,46.52,70.0,84,,Yes,,Yes
WO62056PAN,Tourbe - Zenitude (Diva 184) 1014165,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,52.75,74.16666666666667,89,Yes,,,Yes
WO86987PAN,Tourbe - Zenitude/Origine (Diva 184) 1006552,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83333333333334,97,,Yes,,Yes
