Installation Item,SKU,Unit,Cost,Sell (Exc.),Sell (Inc.),Category,Type,Discontinued?
Delivery (Minimum),INS52045LVT,Unit,45.0,54.16666666666667,65.0,LVT,Delivery,
Delivery,INS22975LVT,Unit (£),1.0,1.15,1.38,LVT,Delivery,
Preparation - Miscellaneous,INS66094LVT,Unit (£),1.0,1.1583333333333332,1.39,LVT,Sub floor works,
Primer Application,INS33086LVT,SQM,2.5,2.916666666666667,3.5,LVT,Sub floor works,
Smoothing Compound Installation,INS55873LVT,Per Bag,45.0,54.16666666666667,65.0,LVT,Sub floor works,
Acrylic DPM Installation,INS44910LVT,SQM,8.0,9.583333333333334,11.5,LVT,Sub floor works,
Acrylic DPM Installation (Minimum),INS32274LVT,Unit,300.0,354.16666666666663,425.0,LVT,Sub floor works,
Moisture Suppressant Installation,INS11677LVT,SQM,8.0,9.583333333333334,11.5,LVT,Sub floor works,
Moisture Suppressant Installation (Minimum),INS14439LVT,Unit,300.0,354.16666666666663,425.0,LVT,Sub floor works,
Removal (Uplift & Disposal) of Carpet etc.,INS68310LVT,SQM,3.5,4.166666666666667,5.0,LVT,Uplift,
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS67814LVT,SQM,5.0,5.833333333333334,7.0,LVT,Uplift,
Removal (Uplift & Disposal) of Laminate etc.,INS31163LVT,SQM,7.0,8.125,9.75,LVT,Uplift,
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS17271LVT,SQM,9.5,11.25,13.5,LVT,Uplift,
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS98123LVT,SQM,12.5,14.583333333333332,17.5,LVT,Uplift,
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS12733LVT,SQM,15.0,20.833333333333336,25.0,LVT,Uplift,
Removal (Uplift & Disposal) - Minimum charge,INS77591LVT,Unit,70.0,83.33333333333334,100.0,LVT,Uplift,
SPC / Click Installation - Plank,INS86442SPC,SQM,15.0,17.5,21.0,SPC / Click,Installation,
SPC / Click Installation - Tile,INS97061SPC,SQM,15.0,17.5,21.0,SPC / Click,Installation,
SPC / Click Installation - Herringbone,INS83210SPC,SQM,22.0,25.0,30.0,SPC / Click,Installation,
SPC / Click Installation - Minimum (1 Day),INS77984SPC,Per Day,350.0,395.83333333333337,475.0,SPC / Click,Installation,
SPC / Click Installation - Step,INS13563SPC,Per Step,50.0,58.33333333333333,70.0,SPC / Click,Installation,
SPC / Click Installation - Miscellaneous,INS96868SPC,Unit (£),1.0,1.15,1.38,SPC / Click,Installation,
Installation - Cut Door (Each),INS97779SPC,Each,30.0,35.0,42.0,SPC / Click,Installation,
Installation - Travel / Parking / ULEZ / CC,INS72436SPC,Unit (£),1.0,1.15,1.38,SPC / Click,Installation,
Installation - Apply Sealant,INS52997SPC,LM,3.0,3.75,4.5,SPC / Click,Installation,
Move (Emptied) Furniture,INS62492SPC,Per Room,25.0,29.166666666666664,35.0,SPC / Click,Furniture,
Lay Floor Protection,INS67716SPC,SQM,2.5,2.916666666666667,3.5,SPC / Click,Installation,
Delivery (Minimum),INS72471SPC,Unit,45.0,54.16666666666667,65.0,SPC / Click,Delivery,
Delivery,INS18267SPC,Unit (£),1.0,1.15,1.38,SPC / Click,Delivery,
Ply Installation - Standard,INS99851SPC,Per Sheet,30.0,35.0,42.0,SPC / Click,Sub floor works,
Ply Installation - 12mm(+),INS66352SPC,Per Sheet,35.0,40.83333333333333,49.0,SPC / Click,Sub floor works,
Preparation - Miscellaneous,INS18122SPC,Unit (£),1.0,1.1583333333333332,1.39,SPC / Click,Sub floor works,
Smoothing Compound Installation,INS56483SPC,Per Bag,45.0,54.16666666666667,65.0,SPC / Click,Sub floor works,
Removal (Uplift & Disposal) of Carpet etc.,INS44652SPC,SQM,3.5,4.166666666666667,5.0,SPC / Click,Uplift,
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS13579SPC,SQM,5.0,5.833333333333334,7.0,SPC / Click,Uplift,
Removal (Uplift & Disposal) of Laminate etc.,INS59412SPC,SQM,7.0,8.125,9.75,SPC / Click,Uplift,
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS58773SPC,SQM,9.5,11.25,13.5,SPC / Click,Uplift,
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS74678SPC,SQM,12.5,14.583333333333332,17.5,SPC / Click,Uplift,
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS14687SPC,SQM,15.0,20.833333333333336,25.0,SPC / Click,Uplift,
Removal (Uplift & Disposal) - Minimum charge,INS45653SPC,Unit,70.0,83.33333333333334,100.0,SPC / Click,Uplift,
Laminate Installation - Plank,INS59231LAM,SQM,15.0,17.25,21.0,Laminate,Installation,
Laminate Installation - Tile,INS39516LAM,SQM,15.0,17.25,21.0,Laminate,Installation,
Laminate Installation - Herringbone,INS75486LAM,SQM,22.5,25.874999999999996,32.0,Laminate,Installation,
Laminate Installation - Minimum (1 Day),INS53597LAM,Per Day,350.0,402.49999999999994,483.0,Laminate,Installation,
Laminate Installation - Step,INS46959LAM,Per Step,50.0,57.49999999999999,70.0,Laminate,Installation,
Laminate Installation - Miscellaneous,INS47210LAM,Unit (£),1.0,1.15,1.38,Laminate,Installation,
Skirting Installation,INS37722LAM,LM,20.0,23.0,28.0,Laminate,Installation,
Remove Existing Skirting,INS42318LAM,LM,4.0,4.6,6.0,Laminate,Installation,
Installation - Cut Door (Each),INS73345LAM,Each,30.0,35.0,42.0,Laminate,Installation,
Installation - Travel / Parking / ULEZ / CC,INS17520LAM,Unit (£),1.0,1.15,1.38,Laminate,Installation,
Installation - Apply Sealant,INS46637LAM,LM,3.0,3.75,4.5,Laminate,Installation,
Move (Emptied) Furniture,INS92425LAM,Per Room,25.0,29.166666666666664,35.0,Laminate,Furniture,
Lay Floor Protection,INS72617LAM,SQM,2.5,2.916666666666667,3.5,Laminate,Installation,
Delivery (Minimum),INS20702LAM,Unit,45.0,54.16666666666667,65.0,Laminate,Delivery,
Delivery,INS51047LAM,Unit (£),1.0,1.15,1.38,Laminate,Delivery,
Ply Installation - Standard,INS54285LAM,Per Sheet,30.0,35.0,42.0,Laminate,Sub floor works,
Ply Installation - 12mm(+),INS59962LAM,Per Sheet,35.0,40.83333333333333,49.0,Laminate,Sub floor works,
Preparation - Miscellaneous,INS76524LAM,Unit (£),1.0,1.1583333333333332,1.39,Laminate,Sub floor works,
Primer Application,INS55842LAM,SQM,2.5,2.916666666666667,3.5,Laminate,Sub floor works,
Smoothing Compound Installation,INS65164LAM,Per Bag,45.0,54.16666666666667,65.0,Laminate,Sub floor works,
Removal (Uplift & Disposal) of Carpet etc.,INS86267LAM,SQM,3.5,4.166666666666667,5.0,Laminate,Furniture,
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS74891LAM,SQM,5.0,5.833333333333334,7.0,Laminate,Uplift,
Removal (Uplift & Disposal) of Laminate etc.,INS86029LAM,SQM,7.0,8.125,9.75,Laminate,Uplift,
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS85731LAM,SQM,9.5,11.25,13.5,Laminate,Uplift,
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS49242LAM,SQM,12.5,14.583333333333332,17.5,Laminate,Uplift,
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS29249LAM,SQM,15.0,20.833333333333336,25.0,Laminate,Uplift,
Removal (Uplift & Disposal) - Minimum charge,INS54125LAM,Unit,70.0,83.33333333333334,100.0,Laminate,Uplift,
Wood Installation - Plank,INS19563WOO,SQM,24.0,27.5,33.0,Wood,Installation,
Wood Installation - Herringbone,INS88991WOO,SQM,31.5,36.666666666666664,44.0,Wood,Installation,
Wood Installation - Chevron,INS82970WOO,SQM,31.5,36.666666666666664,44.0,Wood,Installation,
Wood Installation - Marquetry Design,INS66901WOO,SQM,35.0,40.83333333333333,49.0,Wood,Installation,
Wood Installation - Marquetry Panel,INS38200WOO,SQM,31.5,36.666666666666664,44.0,Wood,Installation,
Wood Installation - Minimum (1 Day),INS21466WOO,Per Day,400.0,458.33333333333337,550.0,Wood,Installation,
Wood Installation - Step,INS61118WOO,Per Step,65.0,75.0,90.0,Wood,Installation,
Wood Installation - Miscellaneous,INS93316WOO,Unit (£),1.0,1.15,1.38,Wood,Installation,
Wood Installation - Border (Without Inlay),INS38822WOO,LM,20.0,23.333333333333336,28.0,Wood,Installation,
Wood Installation - Border (With Inlay),INS71230WOO,LM,30.0,35.0,42.0,Wood,Installation,
Skirting Installation,INS73643WOO,LM,20.0,23.333333333333336,28.0,Wood,Installation,
Undercut Skirting,INS30669WOO,LM,20.0,23.333333333333336,28.0,Wood,Installation,
Remove Existing Skirting,INS51374WOO,LM,4.0,4.583333333333333,5.5,Wood,Installation,
Install Sound Reducing Underlay (Adhere),INS26625WOO,SQM,7.0,8.125,9.75,Wood,Installation,
Undercut Step,INS11171WOO,LM,54.0,62.5,75.0,Wood,Installation,
Installation - Cut Door (Each),INS65685WOO,Each,30.0,35.0,42.0,Wood,Installation,
Installation - Travel / Parking / ULEZ / CC,INS69862WOO,Unit (£),1.0,1.15,1.38,Wood,Installation,
