Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA35351CRU,Crucial Trading,CT Sisal Malawi Hemp SM102 (4 M),CT Sisal Malawi,Hemp SM102,4.0,52.78,95.0,Carpet,Sisal,
CA96815CRU,Crucial Trading,CT Sisal Malawi Hemp SM102 (5 M),CT Sisal Malawi,Hemp SM102,5.0,52.78,95.0,Carpet,Sisal,
CA99738CRU,Crucial Trading,CT Sisal Malawi Rustic SM105 (4 M),CT Sisal Malawi,Rustic SM105,4.0,52.78,95.0,Carpet,Sisal,
CA44638CRU,Crucial Trading,CT Sisal Malawi Rustic SM105 (5 M),CT Sisal Malawi,Rustic SM105,5.0,52.78,95.0,Carpet,Sisal,
CA38737CRU,Crucial Trading,CT Sisal Malawi Twine SM103 (4 M),CT Sisal Malawi,Twine SM103,4.0,52.78,95.0,Carpet,Sisal,
CA18505CRU,Crucial Trading,CT Sisal Malawi Twine SM103 (5 M),CT Sisal Malawi,Twine SM103,5.0,52.78,95.0,Carpet,Sisal,
CA13496CRU,Crucial Trading,CT Sisal Malawi Wicker SM100 (4 M),CT Sisal Malawi,Wicker SM100,4.0,52.78,95.0,Carpet,Sisal,
CA89529CRU,Crucial Trading,CT Sisal Malawi Wicker SM100 (5 M),CT Sisal Malawi,Wicker SM100,5.0,52.78,95.0,Carpet,Sisal,
CA24819CRU,Crucial Trading,CT Sisal Ogee Contour P1804 (4 M),CT Sisal Ogee,Contour P1804,4.0,71.93,129.0,Carpet,Sisal,
CA68503CRU,Crucial Trading,CT Sisal Ogee Interlinked P1803 (4 M),CT Sisal Ogee,Interlinked P1803,4.0,71.93,129.0,Carpet,Sisal,
CA59893CRU,Crucial Trading,CT Sisal Ogee Rhythmic Play P1802 (4 M),CT Sisal Ogee,Rhythmic Play P1802,4.0,71.93,129.0,Carpet,Sisal,
CA15777CRU,Crucial Trading,CT Sisal Ogee Turn P1801 (4 M),CT Sisal Ogee,Turn P1801,4.0,71.93,129.0,Carpet,Sisal,
CA43137CRU,Crucial Trading,CT Sisal Oriental Aluminium E111 (4 M),CT Sisal Oriental,Aluminium E111,4.0,22.5,49.0,Carpet,Sisal,
CA58716CRU,Crucial Trading,CT Sisal Oriental Aluminium E111 (5 M),CT Sisal Oriental,Aluminium E111,5.0,22.5,49.0,Carpet,Sisal,
CA44560CRU,Crucial Trading,CT Sisal Oriental Antique Gold E112 (4 M),CT Sisal Oriental,Antique Gold E112,4.0,22.5,49.0,Carpet,Sisal,
CA24784CRU,Crucial Trading,CT Sisal Oriental Antique Gold E112 (5 M),CT Sisal Oriental,Antique Gold E112,5.0,22.5,49.0,Carpet,Sisal,
CA30476CRU,Crucial Trading,CT Sisal Oriental Brass E114 (4 M),CT Sisal Oriental,Brass E114,4.0,22.5,49.0,Carpet,Sisal,
CA36279CRU,Crucial Trading,CT Sisal Oriental Brass E114 (5 M),CT Sisal Oriental,Brass E114,5.0,22.5,49.0,Carpet,Sisal,
CA15838CRU,Crucial Trading,CT Sisal Oriental Carbon E109 (4 M),CT Sisal Oriental,Carbon E109,4.0,22.5,49.0,Carpet,Sisal,
CA86025CRU,Crucial Trading,CT Sisal Oriental Carbon E109 (5 M),CT Sisal Oriental,Carbon E109,5.0,22.5,49.0,Carpet,Sisal,
CA42120CRU,Crucial Trading,CT Sisal Oriental Copper E102 (4 M),CT Sisal Oriental,Copper E102,4.0,22.5,49.0,Carpet,Sisal,
CA55011CRU,Crucial Trading,CT Sisal Oriental Copper E102 (5 M),CT Sisal Oriental,Copper E102,5.0,22.5,49.0,Carpet,Sisal,
CA82125CRU,Crucial Trading,CT Sisal Oriental Dusty Stone E115 (4 M),CT Sisal Oriental,Dusty Stone E115,4.0,22.5,49.0,Carpet,Sisal,
CA97653CRU,Crucial Trading,CT Sisal Oriental Dusty Stone E115 (5 M),CT Sisal Oriental,Dusty Stone E115,5.0,22.5,49.0,Carpet,Sisal,
CA53428CRU,Crucial Trading,CT Sisal Oriental Old Heritage E113 (4 M),CT Sisal Oriental,Old Heritage E113,4.0,22.5,49.0,Carpet,Sisal,
CA33044CRU,Crucial Trading,CT Sisal Oriental Old Heritage E113 (5 M),CT Sisal Oriental,Old Heritage E113,5.0,22.5,49.0,Carpet,Sisal,
CA90473CRU,Crucial Trading,CT Sisal Oriental Platinum E108 (4 M),CT Sisal Oriental,Platinum E108,4.0,22.5,49.0,Carpet,Sisal,
CA48134CRU,Crucial Trading,CT Sisal Oriental Platinum E108 (5 M),CT Sisal Oriental,Platinum E108,5.0,22.5,49.0,Carpet,Sisal,
CA29479CRU,Crucial Trading,CT Sisal Oriental Silver E101 (4 M),CT Sisal Oriental,Silver E101,4.0,22.5,49.0,Carpet,Sisal,
CA55001CRU,Crucial Trading,CT Sisal Oriental Silver E101 (5 M),CT Sisal Oriental,Silver E101,5.0,22.5,49.0,Carpet,Sisal,
CA73783CRU,Crucial Trading,CT Sisal Oriental Topaz E100 (4 M),CT Sisal Oriental,Topaz E100,4.0,22.5,49.0,Carpet,Sisal,
CA72480CRU,Crucial Trading,CT Sisal Oriental Topaz E100 (5 M),CT Sisal Oriental,Topaz E100,5.0,22.5,49.0,Carpet,Sisal,
CA60147CRU,Crucial Trading,CT Sisal Panama New Champagne Black E221 (4 M),CT Sisal Panama New Champagne,Black E221,4.0,29.31,60.0,Carpet,Sisal,
CA53218CRU,Crucial Trading,CT Sisal Panama New Champagne Brown E222 (4 M),CT Sisal Panama New Champagne,Brown E222,4.0,29.31,60.0,Carpet,Sisal,
CA78872CRU,Crucial Trading,CT Sisal Panama New Champagne Natural E220 (4 M),CT Sisal Panama New Champagne,Natural E220,4.0,29.31,60.0,Carpet,Sisal,
CA69016CRU,Crucial Trading,CT Sisal Panama New Champagne Red E223 (4 M),CT Sisal Panama New Champagne,Red E223,4.0,29.31,60.0,Carpet,Sisal,
CA81574CRU,Crucial Trading,CT Sisal Small Boucle Accents Aluminium C658 (4 M),CT Sisal Small Boucle Accents,Aluminium C658,4.0,22.4,48.0,Carpet,Sisal,
CA89408CRU,Crucial Trading,CT Sisal Small Boucle Accents Antique Gold C659 (4 M),CT Sisal Small Boucle Accents,Antique Gold C659,4.0,22.4,48.0,Carpet,Sisal,
CA38415CRU,Crucial Trading,CT Sisal Small Boucle Accents Black C714 (4 M),CT Sisal Small Boucle Accents,Black C714,4.0,22.4,48.0,Carpet,Sisal,
CA98767CRU,Crucial Trading,CT Sisal Small Boucle Accents Limestone C719 (4 M),CT Sisal Small Boucle Accents,Limestone C719,4.0,22.4,48.0,Carpet,Sisal,
CA69100CRU,Crucial Trading,CT Sisal Small Boucle Accents Scarlet C858 (4 M),CT Sisal Small Boucle Accents,Scarlet C858,4.0,22.4,48.0,Carpet,Sisal,
CA91746CRU,Crucial Trading,CT Sisal Small Boucle Accents Steel C716 (4 M),CT Sisal Small Boucle Accents,Steel C716,4.0,22.4,48.0,Carpet,Sisal,
CA90568CRU,Crucial Trading,CT Sisal Small Boucle C Anthracite CC989 (4 M),CT Sisal Small Boucle C,Anthracite CC989,4.0,33.39,68.0,Carpet,Sisal,
CA86179CRU,Crucial Trading,CT Sisal Small Boucle C Old Heritage CC988 (4 M),CT Sisal Small Boucle C,Old Heritage CC988,4.0,33.39,68.0,Carpet,Sisal,
CA59555CRU,Crucial Trading,CT Sisal Small Boucle C Silver CC981 (4 M),CT Sisal Small Boucle C,Silver CC981,4.0,33.39,68.0,Carpet,Sisal,
CA81232CRU,Crucial Trading,CT Sisal Small Boucle C Smoke CC982 (4 M),CT Sisal Small Boucle C,Smoke CC982,4.0,33.39,68.0,Carpet,Sisal,
CA21774CRU,Crucial Trading,CT Sisal Small Boucle C Steel Blue CC983 (4 M),CT Sisal Small Boucle C,Steel Blue CC983,4.0,33.39,68.0,Carpet,Sisal,
CA65244CRU,Crucial Trading,CT Sisal Small Boucle Classics Bronze C654 (4 M),CT Sisal Small Boucle C,lassics Bronze C654,4.0,22.4,48.0,Carpet,Sisal,
CA20388CRU,Crucial Trading,CT Sisal Small Boucle Classics Bronze C654 (5 M),CT Sisal Small Boucle C,lassics Bronze C654,5.0,22.4,48.0,Carpet,Sisal,
CA54723CRU,Crucial Trading,CT Sisal Small Boucle Classics Ginger C653 (4 M),CT Sisal Small Boucle C,lassics Ginger C653,4.0,22.4,48.0,Carpet,Sisal,
CA67775CRU,Crucial Trading,CT Sisal Small Boucle Classics Ginger C653 (5 M),CT Sisal Small Boucle C,lassics Ginger C653,5.0,22.4,48.0,Carpet,Sisal,
CA91121CRU,Crucial Trading,CT Stain Removal & Cleaning Set,,,1.0,16.0,38.0,Carpet,Misc,
CA80224CRU,Crucial Trading,Coir Boucle Natural (3.94 M),,,3.94,17.74,43.0,Carpet,Coir,
CA81077CRU,Crucial Trading,Coir Boucle Natural (5 M),,,5.0,17.74,43.0,Carpet,Coir,
