Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Hampstead 515 - Pebble (5 M),CA53446RIV-83B43,Riviera,246.5,246.5,370.83333333333337,Carpet,Carpet,Riviera Hampstead  515 - Pebble  5,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hampstead 516 - Wild Fennel (5 M),CA53446RIV-0A2E9,Riviera,246.5,246.5,370.83333333333337,Carpet,Carpet,Riviera Hampstead  516 - Wild Fennel  5,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Hampstead 517 - Silver Cloud (5 M),CA53446RIV-73613,Riviera,246.5,246.5,370.83333333333337,Carpet,Carpet,Riviera Hampstead  517 - Silver Cloud 5,Price per SQM: £89.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Lake 620 - Coniston (4 M),CA76921RIV-21B64,Riviera,107.4,107.4,183.33333333333331,Carpet,Carpet,Riviera Lake 620 - Coniston 4,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Lake 621 - Derwent (4 M),CA76921RIV-F9C20,Riviera,107.4,107.4,183.33333333333331,Carpet,Carpet,Riviera Lake  621 - Derwent 4,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Lake 622 - Ullswater (4 M),CA76921RIV-BA099,Riviera,107.4,107.4,183.33333333333331,Carpet,Carpet,Riviera Lake  622 - Ullswater 4,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Lake 623 - Windermere (4 M),CA76921RIV-A71BF,Riviera,107.4,107.4,183.33333333333331,Carpet,Carpet,Riviera Lake  623 - Windermere 4,Price per SQM: £55.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Livorno 231 - Cream (5 M),CA81293RIV-1B77F,Riviera,140.0,140.0,237.5,Carpet,Carpet,Riviera Livorno 231 - Cream 5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Livorno 232 - Hazelwood (5 M),CA81293RIV-F5F66,Riviera,140.0,140.0,237.5,Carpet,Carpet,Riviera Livorno  232 - Hazelwood 5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Livorno 233 - Eggshell (5 M),CA81293RIV-DD520,Riviera,140.0,140.0,237.5,Carpet,Carpet,Riviera Livorno  233 - Eggshell 5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Livorno 234 - Coffee (5 M),CA81293RIV-CCE69,Riviera,140.0,140.0,237.5,Carpet,Carpet,Riviera Livorno  234 - Coffee 5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Mayfair 2000 - Pewter (5 M),CA68206RIV-2DD04,Riviera,277.0,277.0,416.66666666666674,Carpet,Carpet,Riviera Mayfair 2000 - Pewter 5,Price per SQM: £100.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Mayfair 2001 - Wild Mushroom (5 M),CA68206RIV-072A1,Riviera,277.0,277.0,416.66666666666674,Carpet,Carpet,Riviera Mayfair  2001 - Wild Mushroom 5,Price per SQM: £100.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Mayfair 2002 - Taupe Grey (5 M),CA68206RIV-A08D1,Riviera,277.0,277.0,416.66666666666674,Carpet,Carpet,Riviera Mayfair  2002 - Taupe Grey 5,Price per SQM: £100.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Mayfair 2003 - Silk (5 M),CA68206RIV-5D7BC,Riviera,277.0,277.0,416.66666666666674,Carpet,Carpet,Riviera Mayfair  2003 - Silk 5,Price per SQM: £100.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Mayfair 2004 - Champagne (5 M),CA68206RIV-CFBEB,Riviera,277.0,277.0,416.66666666666674,Carpet,Carpet,Riviera Mayfair  2004 - Champagne 5,Price per SQM: £100.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
