Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Sisal 'Easyclean' Boucle Moonstone (5 M),CA21793FIB-B13C5,Fibre,132.5,132.5,225.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Moonstone  5,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Onyx (4 M),CA21793FIB-F9C68,Fibre,106.0,106.0,180.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Onyx 4,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Onyx (5 M),CA21793FIB-EDA41,Fibre,132.5,132.5,225.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Onyx  5,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Quartz (4 M),CA21793FIB-CC85A,Fibre,106.0,106.0,180.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Quartz 4,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Quartz (5 M),CA21793FIB-D5983,Fibre,132.5,132.5,225.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Quartz  5,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Sunstone (4 M),CA21793FIB-7D0C7,Fibre,106.0,106.0,180.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Sunstone 4,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyclean' Boucle Sunstone (5 M),CA21793FIB-13797,Fibre,132.5,132.5,225.0,Carpet,Sisal,Fibre Sisal 'Easyclean' Boucle  Sunstone  5,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Sisal 'Easyfit' Antilles Aruba (4 M),CA75995FIB-8F84F,Fibre,111.8,111.8,190.0,Carpet,Sisal,Fibre Sisal 'Easyfit' Antilles Aruba 4,"Price per SQM: £57.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Antilles Aruba (5 M),CA75995FIB-B9B2D,Fibre,139.75,139.75,237.5,Carpet,Sisal,Fibre Sisal 'Easyfit' Antilles Aruba  5,"Price per SQM: £57.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Antilles Bonaire (4 M),CA75995FIB-C2884,Fibre,111.8,111.8,190.0,Carpet,Sisal,Fibre Sisal 'Easyfit' Antilles  Bonaire 4,"Price per SQM: £57.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Antilles Bonaire (5 M),CA75995FIB-7912D,Fibre,139.75,139.75,237.5,Carpet,Sisal,Fibre Sisal 'Easyfit' Antilles  Bonaire  5,"Price per SQM: £57.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Antilles Curacao (4 M),CA75995FIB-E8180,Fibre,111.8,111.8,190.0,Carpet,Sisal,Fibre Sisal 'Easyfit' Antilles  Curacao 4,"Price per SQM: £57.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Antilles Curacao (5 M),CA75995FIB-B0039,Fibre,139.75,139.75,237.5,Carpet,Sisal,Fibre Sisal 'Easyfit' Antilles  Curacao  5,"Price per SQM: £57.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Borneo Bontang (4 M),CA15886FIB-83F4E,Fibre,103.8,103.8,176.66666666666669,Carpet,Sisal,Fibre Sisal 'Easyfit' Borneo Bontang 4,"Price per SQM: £53.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Borneo Bontang (5 M),CA15886FIB-64AB6,Fibre,129.75,129.75,220.83333333333337,Carpet,Sisal,Fibre Sisal 'Easyfit' Borneo Bontang  5,"Price per SQM: £53.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Borneo Brunei (4 M),CA15886FIB-F495A,Fibre,103.8,103.8,176.66666666666669,Carpet,Sisal,Fibre Sisal 'Easyfit' Borneo  Brunei 4,"Price per SQM: £53.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Borneo Brunei (5 M),CA15886FIB-5066A,Fibre,129.75,129.75,220.83333333333337,Carpet,Sisal,Fibre Sisal 'Easyfit' Borneo  Brunei  5,"Price per SQM: £53.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Borneo Sarawak (4 M),CA15886FIB-83717,Fibre,103.8,103.8,176.66666666666669,Carpet,Sisal,Fibre Sisal 'Easyfit' Borneo  Sarawak 4,"Price per SQM: £53.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Borneo Sarawak (5 M),CA15886FIB-FB89C,Fibre,129.75,129.75,220.83333333333337,Carpet,Sisal,Fibre Sisal 'Easyfit' Borneo  Sarawak  5,"Price per SQM: £53.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Borneo Sibu (4 M),CA15886FIB-D048F,Fibre,103.8,103.8,176.66666666666669,Carpet,Sisal,Fibre Sisal 'Easyfit' Borneo  Sibu 4,"Price per SQM: £53.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Sisal 'Easyfit' Borneo Sibu (5 M),CA15886FIB-897FC,Fibre,129.75,129.75,220.83333333333337,Carpet,Sisal,Fibre Sisal 'Easyfit' Borneo  Sibu  5,"Price per SQM: £53.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
