Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Habitus Croft Surf (1 M),CA70872ULS-26EC2,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft Surf 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Surf (2 M),CA70872ULS-226B8,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft Surf  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Surf (3 M),CA70872ULS-4B42B,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft Surf  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Surf (4 M),CA70872ULS-B7A05,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft Surf  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Surf (5 M),CA70872ULS-3A04B,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft Surf  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Soya (1 M),CA70872ULS-3C66D,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Soya 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Soya (2 M),CA70872ULS-AD81E,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Soya  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Soya (3 M),CA70872ULS-B8C70,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Soya  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Soya (4 M),CA70872ULS-A7171,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Soya  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Soya (5 M),CA70872ULS-04A96,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Soya  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Wren (1 M),CA70872ULS-9D7B3,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Wren 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Wren (2 M),CA70872ULS-83C5A,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Wren  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Wren (3 M),CA70872ULS-B7151,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Wren  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Wren (4 M),CA70872ULS-7CE18,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Wren  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Wren (5 M),CA70872ULS-35716,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Wren  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Rye (1 M),CA70872ULS-2AB25,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Rye 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Rye (2 M),CA70872ULS-A474B,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Rye  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Rye (3 M),CA70872ULS-305F3,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Rye  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Rye (4 M),CA70872ULS-75191,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Rye  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Rye (5 M),CA70872ULS-6F51C,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Rye  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Etching (1 M),CA70872ULS-BCD75,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Etching 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Etching (2 M),CA70872ULS-CB6A6,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Etching  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Etching (3 M),CA70872ULS-5340B,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Etching  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Etching (4 M),CA70872ULS-C8582,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Etching  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Etching (5 M),CA70872ULS-41A1A,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Etching  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Reef (1 M),CA70872ULS-4C582,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Reef 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Reef (2 M),CA70872ULS-B8606,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Reef  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Reef (3 M),CA70872ULS-B6841,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Reef  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Reef (4 M),CA70872ULS-0945A,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Reef  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Reef (5 M),CA70872ULS-A8C44,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Reef  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Mere (1 M),CA70872ULS-74046,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Mere 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Mere (2 M),CA70872ULS-9ABF1,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Mere  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Mere (3 M),CA70872ULS-5AAC8,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Mere  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Mere (4 M),CA70872ULS-02561,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Mere  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Mere (5 M),CA70872ULS-48A90,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Mere  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Hearth (1 M),CA70872ULS-4F739,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Hearth 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Hearth (2 M),CA70872ULS-6B2EC,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Hearth  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Hearth (3 M),CA70872ULS-FC09C,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Hearth  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Hearth (4 M),CA70872ULS-0829F,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Hearth  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Hearth (5 M),CA70872ULS-4E095,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Hearth  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Furrow (1 M),CA70872ULS-54DE5,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Furrow 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Furrow (2 M),CA70872ULS-FDAF4,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Furrow  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Furrow (3 M),CA70872ULS-51404,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Furrow  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Furrow (4 M),CA70872ULS-30BB2,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Furrow  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Furrow (5 M),CA70872ULS-20BF8,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Furrow  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Gable (1 M),CA70872ULS-920C1,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Gable 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Gable (2 M),CA70872ULS-A76D8,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Gable  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Gable (3 M),CA70872ULS-BEEEA,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Gable  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Gable (4 M),CA70872ULS-27E22,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Gable  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Gable (5 M),CA70872ULS-ECEED,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Gable  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Rustik Air (1 M),CA29498ULS-C15DA,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Rustik Air 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Rustik Air (2 M),CA29498ULS-B2A1B,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Rustik Air  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Rustik Air (3 M),CA29498ULS-3A1DA,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Rustik Air  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Rustik Air (4 M),CA29498ULS-F0491,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Rustik Air  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Rustik Air (5 M),CA29498ULS-5010E,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Rustik Air  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Rustik River (1 M),CA29498ULS-10F37,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Rustik  River 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Rustik River (2 M),CA29498ULS-DBE41,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Rustik  River  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Rustik River (3 M),CA29498ULS-BD52A,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Rustik  River  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Rustik River (4 M),CA29498ULS-FB15C,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Rustik  River  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Rustik River (5 M),CA29498ULS-93755,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Rustik  River  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Shoal (1 M),CA77393ULS-D4F21,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Strond Shoal 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Shoal (2 M),CA77393ULS-82FA4,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Strond Shoal  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Shoal (3 M),CA77393ULS-BB1BF,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Strond Shoal  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Shoal (4 M),CA77393ULS-7477B,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Strond Shoal  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Shoal (5 M),CA77393ULS-39CBE,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Strond Shoal  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Shore (1 M),CA77393ULS-91D19,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Strond  Shore 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Shore (2 M),CA77393ULS-AB10E,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Strond  Shore  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Shore (3 M),CA77393ULS-AB327,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Strond  Shore  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Shore (4 M),CA77393ULS-A4E8C,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Strond  Shore  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Shore (5 M),CA77393ULS-C376B,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Strond  Shore  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Sail (1 M),CA77393ULS-3B4D5,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Strond  Sail 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Sail (2 M),CA77393ULS-8E861,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Strond  Sail  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Sail (3 M),CA77393ULS-96238,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Strond  Sail  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Sail (4 M),CA77393ULS-65EFE,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Strond  Sail  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Sail (5 M),CA77393ULS-3573A,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Strond  Sail  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Strond Creek (1 M),CA77393ULS-BCF39,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Strond  Creek 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
