Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Durham Twist Colours 50 Terracotta Pot (4 M),CA76746HUG-1A765,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Terracotta Pot 4,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Colours 50 Terracotta Pot (5 M),CA76746HUG-E9623,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Twist Colours 50  Terracotta Pot  5,"Price per SQM: £46.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Elements 40 Ash Blonde (4 M),CA64104HUG-E6486,Hugh Mackay,74.32,74.32,140.0,Carpet,Carpet,Hugh Mackay Durham Twist Elements 40 Ash Blonde 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Elements 40 Ash Blonde (5 M),CA64104HUG-6F162,Hugh Mackay,92.89999999999999,92.89999999999999,175.0,Carpet,Carpet,Hugh Mackay Durham Twist Elements 40 Ash Blonde  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Elements 40 Beluga (4 M),CA64104HUG-37F0B,Hugh Mackay,74.32,74.32,140.0,Carpet,Carpet,Hugh Mackay Durham Twist Elements 40  Beluga 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Elements 40 Beluga (5 M),CA64104HUG-4F9A5,Hugh Mackay,92.89999999999999,92.89999999999999,175.0,Carpet,Carpet,Hugh Mackay Durham Twist Elements 40  Beluga  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Elements 40 Creamy Grey (4 M),CA64104HUG-00FCA,Hugh Mackay,74.32,74.32,140.0,Carpet,Carpet,Hugh Mackay Durham Twist Elements 40  Creamy Grey 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Elements 40 Creamy Grey (5 M),CA64104HUG-DB260,Hugh Mackay,92.89999999999999,92.89999999999999,175.0,Carpet,Carpet,Hugh Mackay Durham Twist Elements 40  Creamy Grey  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Elements 40 Glacial Storm (4 M),CA64104HUG-A5B58,Hugh Mackay,74.32,74.32,140.0,Carpet,Carpet,Hugh Mackay Durham Twist Elements 40  Glacial Storm 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Twist Elements 40 Glacial Storm (5 M),CA64104HUG-80B37,Hugh Mackay,92.89999999999999,92.89999999999999,175.0,Carpet,Carpet,Hugh Mackay Durham Twist Elements 40  Glacial Storm  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
