Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Goodrich Charred Oak,WO77974WOO,Woodpecker,66.5,66.5,93.33333333333334,Wood,Herringbone,Woodpecker Goodrich Charred Oak,"Price per SQM: £112.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Goodrich Spiced Oak,WO36973WOO,Woodpecker,66.5,66.5,93.33333333333334,Wood,Herringbone,Woodpecker Goodrich Spiced Oak,Price per SQM: £112.00 inc VAT; Locations: None; Data synced from Rakata
Goodrich Foundry Oak,WO15674WOO,Woodpecker,66.5,66.5,93.33333333333334,Wood,Herringbone,Woodpecker Goodrich Foundry Oak,Price per SQM: £112.00 inc VAT; Locations: None; Data synced from Rakata
Goodrich Cathedral Oak,WO52821WOO,Woodpecker,66.5,66.5,93.33333333333334,Wood,Herringbone,Woodpecker Goodrich Cathedral Oak,Price per SQM: £112.00 inc VAT; Locations: None; Data synced from Rakata
Highclere Feather Oak,WO64162WOO,Woodpecker,59.0,59.0,82.5,Wood,Herringbone,Woodpecker Highclere Feather Oak,Price per SQM: £99.00 inc VAT; Locations: None; Data synced from Rakata
Highclere Natural Oak,WO14546WOO,Woodpecker,54.5,54.5,76.66666666666667,Wood,Herringbone,Woodpecker Highclere Natural Oak,Price per SQM: £92.00 inc VAT; Locations: None; Data synced from Rakata
Highclere Coffee Oak,WO70230WOO,Woodpecker,59.0,59.0,82.5,Wood,Herringbone,Woodpecker Highclere Coffee Oak,Price per SQM: £99.00 inc VAT; Locations: None; Data synced from Rakata
Highclere Biscotti Oak,WO73955WOO,Woodpecker,59.0,59.0,82.5,Wood,Herringbone,Woodpecker Highclere Biscotti Oak,Price per SQM: £99.00 inc VAT; Locations: None; Data synced from Rakata
Chepstow Planed Grey Oak,WO79535WOO,Woodpecker,67.0,67.0,94.16666666666666,Wood,Plank,Woodpecker Chepstow Planed Grey Oak,Price per SQM: £113.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chepstow Rustic Oak (Unfinished),WO93485WOO,Woodpecker,60.5,60.5,85.0,Wood,Plank,Woodpecker Chepstow Rustic Oak (Unfinished),Price per SQM: £102.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chepstow Rustic Oak (Lacq.),WO62110WOO,Woodpecker,61.5,61.5,85.83333333333334,Wood,Plank,Woodpecker Chepstow Rustic Oak (Lacq.),Price per SQM: £103.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chepstow Rustic Oak (Oiled),WO72433WOO,Woodpecker,61.5,61.5,85.83333333333334,Wood,Plank,Woodpecker Chepstow Rustic Oak (Oiled),Price per SQM: £103.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chepstow Rustic Oak (240),WO55781WOO,Woodpecker,71.5,71.5,100.0,Wood,Plank,Woodpecker Chepstow Rustic Oak (240),Price per SQM: £120.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chepstow Washed Oak (190),WO85946WOO,Woodpecker,67.0,67.0,94.16666666666666,Wood,Plank,Woodpecker Chepstow Washed Oak (190),Price per SQM: £113.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chepstow Washed Oak (240),WO17510WOO,Woodpecker,77.5,77.5,108.33333333333334,Wood,Plank,Woodpecker Chepstow Washed Oak (240),Price per SQM: £130.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chepstow Antique Oak (190),WO57551WOO,Woodpecker,67.0,67.0,94.16666666666666,Wood,Plank,Woodpecker Chepstow Antique Oak (190),Price per SQM: £113.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chepstow Antique Oak (240),WO21724WOO,Woodpecker,76.0,76.0,106.66666666666666,Wood,Plank,Woodpecker Chepstow Antique Oak (240),Price per SQM: £128.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chepstow Flaxen Oak,WO19999WOO,Woodpecker,76.0,76.0,106.66666666666666,Wood,Plank,Woodpecker Chepstow Flaxen Oak,Price per SQM: £128.00 inc VAT; Locations: None; Data synced from Rakata
Chepstow Shale Oak,WO95338WOO,Woodpecker,76.0,76.0,106.66666666666666,Wood,Plank,Woodpecker Chepstow Shale Oak,Price per SQM: £128.00 inc VAT; Locations: None; Data synced from Rakata
Chepstow Silverglade Oak,WO48054WOO,Woodpecker,76.0,76.0,106.66666666666666,Wood,Plank,Woodpecker Chepstow Silverglade Oak,Price per SQM: £128.00 inc VAT; Locations: None; Data synced from Rakata
Chepstow Distressed Charcoal Oak (190),WO66768WOO,Woodpecker,76.0,76.0,106.66666666666666,Wood,Plank,Woodpecker Chepstow Distressed Charcoal Oak (190),Price per SQM: £128.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Chepstow Distressed Charcoal Oak (240),WO99050WOO,Woodpecker,86.0,86.0,115.83333333333334,Wood,Plank,Woodpecker Chepstow Distressed Charcoal Oak (240),Price per SQM: £139.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
